anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore,target
2024,45,IT,quantile,0.01,-1,5.2307,ILI
2024,45,IT,quantile,0.01,0,5.2254,ILI
2024,45,IT,quantile,0.01,1,4.9996,ILI
2024,45,IT,quantile,0.01,2,4.78,ILI
2024,45,IT,quantile,0.01,3,4.5666,ILI
2024,45,IT,quantile,0.01,4,4.3598,ILI
2024,45,IT,quantile,0.025,-1,5.3401,ILI
2024,45,IT,quantile,0.025,0,5.262,ILI
2024,45,IT,quantile,0.025,1,5.0543,ILI
2024,45,IT,quantile,0.025,2,4.8576,ILI
2024,45,IT,quantile,0.025,3,4.6765,ILI
2024,45,IT,quantile,0.025,4,4.507,ILI
2024,45,IT,quantile,0.05,-1,5.4102,ILI
2024,45,IT,quantile,0.05,0,5.3186,ILI
2024,45,IT,quantile,0.05,1,5.2,ILI
2024,45,IT,quantile,0.05,2,5.0162,ILI
2024,45,IT,quantile,0.05,3,4.8442,ILI
2024,45,IT,quantile,0.05,4,4.6731,ILI
2024,45,IT,quantile,0.1,-1,5.4598,ILI
2024,45,IT,quantile,0.1,0,5.4315,ILI
2024,45,IT,quantile,0.1,1,5.5612,ILI
2024,45,IT,quantile,0.1,2,5.4663,ILI
2024,45,IT,quantile,0.1,3,5.4279,ILI
2024,45,IT,quantile,0.1,4,5.4897,ILI
2024,45,IT,quantile,0.15,-1,5.4989,ILI
2024,45,IT,quantile,0.15,0,5.5999,ILI
2024,45,IT,quantile,0.15,1,5.7084,ILI
2024,45,IT,quantile,0.15,2,5.8721,ILI
2024,45,IT,quantile,0.15,3,5.9854,ILI
2024,45,IT,quantile,0.15,4,6.0625,ILI
2024,45,IT,quantile,0.2,-1,5.5337,ILI
2024,45,IT,quantile,0.2,0,5.7171,ILI
2024,45,IT,quantile,0.2,1,5.8901,ILI
2024,45,IT,quantile,0.2,2,6.0446,ILI
2024,45,IT,quantile,0.2,3,6.2026,ILI
2024,45,IT,quantile,0.2,4,6.4188,ILI
2024,45,IT,quantile,0.25,-1,5.5646,ILI
2024,45,IT,quantile,0.25,0,5.7796,ILI
2024,45,IT,quantile,0.25,1,5.9908,ILI
2024,45,IT,quantile,0.25,2,6.196,ILI
2024,45,IT,quantile,0.25,3,6.3511,ILI
2024,45,IT,quantile,0.25,4,6.5723,ILI
2024,45,IT,quantile,0.3,-1,5.6265,ILI
2024,45,IT,quantile,0.3,0,5.8192,ILI
2024,45,IT,quantile,0.3,1,6.1265,ILI
2024,45,IT,quantile,0.3,2,6.4469,ILI
2024,45,IT,quantile,0.3,3,6.6535,ILI
2024,45,IT,quantile,0.3,4,6.756,ILI
2024,45,IT,quantile,0.35,-1,5.6746,ILI
2024,45,IT,quantile,0.35,0,5.9213,ILI
2024,45,IT,quantile,0.35,1,6.1586,ILI
2024,45,IT,quantile,0.35,2,6.5249,ILI
2024,45,IT,quantile,0.35,3,6.7343,ILI
2024,45,IT,quantile,0.35,4,6.9861,ILI
2024,45,IT,quantile,0.4,-1,5.6931,ILI
2024,45,IT,quantile,0.4,0,5.9966,ILI
2024,45,IT,quantile,0.4,1,6.2274,ILI
2024,45,IT,quantile,0.4,2,6.5764,ILI
2024,45,IT,quantile,0.4,3,6.9016,ILI
2024,45,IT,quantile,0.4,4,7.1667,ILI
2024,45,IT,quantile,0.45,-1,5.7302,ILI
2024,45,IT,quantile,0.45,0,6.017,ILI
2024,45,IT,quantile,0.45,1,6.3135,ILI
2024,45,IT,quantile,0.45,2,6.6373,ILI
2024,45,IT,quantile,0.45,3,7.0042,ILI
2024,45,IT,quantile,0.45,4,7.3074,ILI
2024,45,IT,quantile,0.5,-1,5.763,ILI
2024,45,IT,quantile,0.5,0,6.0488,ILI
2024,45,IT,quantile,0.5,1,6.3541,ILI
2024,45,IT,quantile,0.5,2,6.688,ILI
2024,45,IT,quantile,0.5,3,7.1511,ILI
2024,45,IT,quantile,0.5,4,7.466,ILI
2024,45,IT,quantile,0.55,-1,5.8017,ILI
2024,45,IT,quantile,0.55,0,6.0972,ILI
2024,45,IT,quantile,0.55,1,6.4172,ILI
2024,45,IT,quantile,0.55,2,6.751,ILI
2024,45,IT,quantile,0.55,3,7.248,ILI
2024,45,IT,quantile,0.55,4,7.7383,ILI
2024,45,IT,quantile,0.6,-1,5.8486,ILI
2024,45,IT,quantile,0.6,0,6.1166,ILI
2024,45,IT,quantile,0.6,1,6.4785,ILI
2024,45,IT,quantile,0.6,2,6.904,ILI
2024,45,IT,quantile,0.6,3,7.381,ILI
2024,45,IT,quantile,0.6,4,7.8408,ILI
2024,45,IT,quantile,0.65,-1,5.8612,ILI
2024,45,IT,quantile,0.65,0,6.1609,ILI
2024,45,IT,quantile,0.65,1,6.5654,ILI
2024,45,IT,quantile,0.65,2,7.0093,ILI
2024,45,IT,quantile,0.65,3,7.4801,ILI
2024,45,IT,quantile,0.65,4,8.1383,ILI
2024,45,IT,quantile,0.7,-1,5.8986,ILI
2024,45,IT,quantile,0.7,0,6.2195,ILI
2024,45,IT,quantile,0.7,1,6.6309,ILI
2024,45,IT,quantile,0.7,2,7.1307,ILI
2024,45,IT,quantile,0.7,3,7.7357,ILI
2024,45,IT,quantile,0.7,4,8.3012,ILI
2024,45,IT,quantile,0.75,-1,5.9142,ILI
2024,45,IT,quantile,0.75,0,6.247,ILI
2024,45,IT,quantile,0.75,1,6.7246,ILI
2024,45,IT,quantile,0.75,2,7.2629,ILI
2024,45,IT,quantile,0.75,3,7.9711,ILI
2024,45,IT,quantile,0.75,4,8.5952,ILI
2024,45,IT,quantile,0.8,-1,5.932,ILI
2024,45,IT,quantile,0.8,0,6.2821,ILI
2024,45,IT,quantile,0.8,1,6.8417,ILI
2024,45,IT,quantile,0.8,2,7.4637,ILI
2024,45,IT,quantile,0.8,3,8.1469,ILI
2024,45,IT,quantile,0.8,4,8.8302,ILI
2024,45,IT,quantile,0.85,-1,5.9559,ILI
2024,45,IT,quantile,0.85,0,6.3212,ILI
2024,45,IT,quantile,0.85,1,6.9851,ILI
2024,45,IT,quantile,0.85,2,7.6826,ILI
2024,45,IT,quantile,0.85,3,8.5527,ILI
2024,45,IT,quantile,0.85,4,9.2423,ILI
2024,45,IT,quantile,0.9,-1,6,ILI
2024,45,IT,quantile,0.9,0,6.3479,ILI
2024,45,IT,quantile,0.9,1,7.0675,ILI
2024,45,IT,quantile,0.9,2,8.0373,ILI
2024,45,IT,quantile,0.9,3,9.0153,ILI
2024,45,IT,quantile,0.9,4,9.6223,ILI
2024,45,IT,quantile,0.95,-1,6.0424,ILI
2024,45,IT,quantile,0.95,0,6.4348,ILI
2024,45,IT,quantile,0.95,1,7.3783,ILI
2024,45,IT,quantile,0.95,2,8.4713,ILI
2024,45,IT,quantile,0.95,3,9.5802,ILI
2024,45,IT,quantile,0.95,4,10.6987,ILI
2024,45,IT,quantile,0.975,-1,6.0829,ILI
2024,45,IT,quantile,0.975,0,6.5452,ILI
2024,45,IT,quantile,0.975,1,7.4127,ILI
2024,45,IT,quantile,0.975,2,9.0187,ILI
2024,45,IT,quantile,0.975,3,10.2273,ILI
2024,45,IT,quantile,0.975,4,11.8465,ILI
2024,45,IT,quantile,0.99,-1,6.0984,ILI
2024,45,IT,quantile,0.99,0,6.6084,ILI
2024,45,IT,quantile,0.99,1,7.9872,ILI
2024,45,IT,quantile,0.99,2,9.3448,ILI
2024,45,IT,quantile,0.99,3,11.4889,ILI
2024,45,IT,quantile,0.99,4,13.3249,ILI
